City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
129,praia da vitoria,38.7333,-27.0667,20.14,77,20,4.19,PT,1717279545
130,old harbour bay,17.9092,-77.0972,26.99,92,100,2.76,JM,1717279546
131,nema,57.5067,50.5011,12.25,73,0,2.18,RU,1717279546
132,daru,-9.0763,143.2092,26.14,78,83,6.02,PG,1717279546
133,kone,-21.0595,164.8658,25.62,65,21,4.69,NC,1717279546
134,boali,4.8005,18.1275,22.92,89,99,0.57,CF,1717279546
135,rampur,28.8167,79.0333,33.38,22,98,3.86,IN,1717279546
136,crane,31.3974,-102.3501,34.47,33,0,7.81,US,1717279546
137,antofagasta,-23.65,-70.4,15.6,84,32,2.94,CL,1717279539
138,preobrazheniye,42.9019,133.9064,11.52,97,100,0.92,RU,1717279546
139,portland,45.5234,-122.6762,23.8,48,75,3.13,US,1717279057
140,chonchi,-42.6128,-73.8092,6.56,91,99,1.08,CL,1717279547
141,xinzhou,38.4092,112.7333,21.11,49,100,0.92,CN,1717279286
142,parry sound,45.3501,-80.033,22.03,40,100,2.09,CA,1717279547
143,kingston,17.997,-76.7936,26.53,83,75,10.29,JM,1717279285
144,vorkuta,67.5,64.0,-4.94,95,98,4.02,RU,1717279547
145,fortuna,40.5982,-124.1573,20.52,75,0,6.17,US,1717279548
146,murzuq,25.9155,13.9184,31.36,14,40,2.94,LY,1717279548
147,port elizabeth,-33.918,25.5701,15.61,97,100,9.77,ZA,1717279263
148,guiuan,11.0333,125.7247,29.07,71,95,2.59,PH,1717279548
149,taltal,-25.4,-70.4833,17.97,77,30,2.36,CL,1717279548
150,lubang,13.8584,120.124,29.94,76,51,1.84,PH,1717279548
151,as suki,13.3167,33.8833,35.47,14,46,2.97,SD,1717279548
152,biltine,14.5333,20.9167,34.07,13,1,3.57,TD,1717279548
153,kununurra,-15.7667,128.7333,20.99,78,100,3.6,AU,1717279549
154,n'zeto,-7.2312,12.8666,23.73,82,48,4.74,AO,1717279549
155,smithers,54.7804,-127.1743,14.18,62,75,3.6,CA,1717279339
156,camocim,-2.9022,-40.8411,26.43,85,10,3.48,BR,1717279549
157,mabaruma,8.2,-59.7833,26.79,81,51,2.0,GY,1717279549
158,fergus falls,46.283,-96.0776,23.07,37,0,6.17,US,1717279549
159,kuching,1.55,110.3333,26.72,94,20,0.0,MY,1717279549
160,mahina,-17.5065,-149.489,28.87,65,75,6.69,PF,1717279549
161,baukau,51.5526,7.2042,17.81,85,100,3.57,DE,1717279550
162,thompson,55.7435,-97.8558,11.09,66,100,5.14,CA,1717279299
163,east london,-33.0153,27.9116,17.72,84,100,13.37,ZA,1717279276
164,beloyarskiy,63.7119,66.6722,-1.11,86,24,2.24,RU,1717279550
165,atascocita,29.9988,-95.1766,33.33,71,75,3.09,US,1717279379
166,jati,24.3539,68.2671,27.97,76,0,5.63,PK,1717279550
167,siem reap,13.5,104.0,24.96,88,100,0.73,KH,1717279550
168,badger,64.8,-147.5333,22.93,28,40,2.57,US,1717279550
169,westport,41.1415,-73.3579,29.6,34,6,2.68,US,1717279278
170,kerema,-7.9631,145.7785,25.68,90,100,1.72,PG,1717279550
171,zaozersk,69.4005,32.4476,6.07,91,67,2.92,RU,1717279551
172,puerto aysen,-45.4,-72.7,4.25,98,100,0.5,CL,1717279343
173,fale old settlement,-9.3852,-171.2468,28.98,72,92,5.58,TK,1717279551
174,arawa,-6.2132,155.5367,25.42,93,100,0.65,PG,1717279551
175,luang namtha,20.9497,101.4011,23.29,99,100,0.51,LA,1717279551
176,avarua,-21.2078,-159.775,25.03,65,75,1.03,CK,1717279551
177,petropavlovsk-kamchatsky,53.0452,158.6483,8.33,95,0,4.92,RU,1717279551
178,bakaly,55.1789,53.8028,14.0,88,38,1.36,RU,1717279551
179,qaqortoq,60.7167,-46.0333,1.53,98,100,3.1,GL,1717279551
